,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,4.047231,7.2036295,4.5551796,0.0,6.511213,4.0847697,0.0,9.937592,5.7233963,9.665778,3.1329184,0.0,0.0,0.0,0.0,0.0,9.897342,0.0,2.8759308,6.963952
1,8.076391,12.747975,6.3500705,5.0594893,4.5762343,10.594499,0.0,7.8252287,0.0,16.363405,5.6233997,3.144369,9.596956,0.0,0.0,0.0,0.0,0.0,8.605852,5.526475
2,13.099761,11.887329,0.0,0.0,0.0,11.200557,0.0,0.0,0.0,4.7552505,5.7129984,1.7298143,7.93818,6.275704,0.0,0.0,0.0,7.091807,8.992953,0.15956143
3,16.921535,17.304224,3.8962083,1.3125572,4.3346553,1.6935288,5.228211,0.0,0.0,4.4350433,1.1126441,5.194114,3.2365515,4.103444,2.4327316,0.0,0.0,8.232884,2.068253,0.0
4,8.284445,10.655978,7.696976,11.347071,0.0,4.5054774,9.667044,2.7542965,0.0,13.706079,6.861371,4.1804047,6.8956494,0.0,0.0,0.0,5.287861,7.6613398,1.9658183,1.502969
5,6.8698883,5.8291726,9.845488,8.129436,0.0,4.3732047,7.018135,3.5037837,0.0,15.590014,5.793851,0.0,6.882567,0.0,0.0,0.0,9.408152,3.8202946,6.510141,1.3357394
6,6.4699435,8.141397,7.153875,0.0,7.9173408,0.0,2.3727381,5.404087,5.997033,4.7483983,11.644741,0.0,0.0,8.038238,0.0,0.0,6.1900005,12.824717,0.0,9.409117
7,2.2610357,5.407084,3.9826872,4.760195,10.60354,9.027014,4.4264607,6.3703694,5.0232587,4.8572,0.0,10.570962,6.931333,0.0,0.015650388,0.0,0.0,3.4402237,1.0488731,13.359642
8,11.58232,7.4095726,13.3411255,1.9909937,2.1415536,10.011408,1.927484,0.0,0.0,11.526866,0.0,6.2678943,28.347729,0.0,10.945735,0.0,0.0,0.0,19.913929,1.1137497
9,12.295957,8.421342,3.3801932,0.0,10.630208,0.0,4.1203294,0.0,0.0,0.0,0.0,8.303871,4.8984575,7.58524,8.843075,0.0,0.0,7.0636063,0.0,0.0
10,20.530325,4.4096575,6.4346986,0.0,13.4305525,4.0786715,6.761433,2.0238454,4.587667,0.0,0.0,7.0457215,1.5561553,25.083836,12.715315,0.0,4.870075,25.54855,8.767428,9.639552
11,1.813744,2.3885965,23.675644,6.141122,2.901395,0.047727227,11.111807,11.049342,0.0,19.258139,23.42686,0.0,7.321688,3.9144704,0.0,0.0,0.0,19.481657,0.0,20.862267
12,6.8828473,1.5685247,27.855076,16.964924,0.0,10.610231,15.560698,17.139446,0.0,32.67153,0.0,6.310289,22.93033,0.0,6.988591,0.0,19.015745,0.0,22.579945,10.01525
13,4.1183887,9.818809,8.028956,3.084519,23.093466,6.6230063,0.0,9.8121195,0.0,5.988506,0.0,14.49224,17.793182,0.0,7.969233,0.0,0.0,0.0,10.990661,6.2714176
14,18.629135,14.87972,0.0,0.0,20.631998,22.888487,0.0,5.0050564,1.4755586,0.0,0.0,23.242085,0.9922367,14.287416,22.204529,0.0,0.0,16.106464,15.066186,14.871315
15,21.698742,10.535926,7.2615695,0.0,10.68266,0.0,8.186405,0.0,0.0,0.0,2.867041,5.481771,2.227298,18.514023,8.737753,0.0,1.5842148,21.448383,0.76725036,0.0
16,13.886904,14.692235,30.796635,22.773972,0.0,8.883689,24.715927,11.689414,0.0,39.22516,28.48253,3.458999,20.200548,0.7319412,0.0,0.0,8.122832,24.234295,0.0,14.978853
